elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,adaptive,41,1.0,0,0.000,0.000,0.000,1.000,2,0.000,0.2500,0,2,2,0,0,0,0,0,2,0
5.0,adaptive,41,1.0,1,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,adaptive,41,1.0,2,0.000,0.000,0.000,0.000,0,0.000,1.0000,0,0,0,0,0,0,0,0,0,0
5.0,adaptive,41,1.0,3,0.000,0.000,0.000,1.400,2,0.000,0.2500,0,2,2,0,0,0,2,0,0,0
10.0,adaptive,41,1.0,0,1.170,3.467,3.467,2.050,5,0.000,0.8929,0,5,5,0,0,0,1,1,2,1
10.0,adaptive,41,1.0,1,3.133,3.133,3.133,0.550,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
10.0,adaptive,41,1.0,2,0.000,0.000,0.000,0.700,2,0.000,0.5000,0,2,2,0,0,0,1,0,1,0
10.0,adaptive,41,1.0,3,3.517,4.083,4.083,1.700,2,0.000,0.2500,0,2,2,0,0,0,2,0,0,0
15.0,adaptive,41,1.0,0,2.138,5.483,5.483,2.800,5,8.000,0.6944,2,7,7,0,0,0,1,2,0,2
15.0,adaptive,41,1.0,1,1.567,3.133,3.133,0.667,1,4.000,0.2500,1,2,2,0,1,0,0,0,1,0
15.0,adaptive,41,1.0,2,1.450,2.900,2.900,0.800,2,4.000,0.2500,1,2,2,0,0,0,0,0,1,0
15.0,adaptive,41,1.0,3,1.758,4.083,4.083,1.267,2,8.000,0.5000,2,4,4,0,0,0,0,0,1,1
20.0,adaptive,41,1.0,0,4.541,10.483,10.483,3.550,7,6.000,0.6447,2,9,9,0,2,0,1,3,0,3
20.0,adaptive,41,1.0,1,2.008,4.900,4.900,0.950,3,3.000,0.4500,1,4,4,0,1,0,0,0,2,1
20.0,adaptive,41,1.0,2,3.950,7.900,7.900,0.850,2,3.000,0.2500,1,2,2,0,0,0,0,0,1,0
20.0,adaptive,41,1.0,3,2.192,4.083,4.083,1.875,4,6.000,0.6667,2,6,5,1,2,0,1,0,1,2
25.0,adaptive,41,1.0,0,6.135,15.483,15.483,4.280,8,12.000,0.4500,5,11,11,0,2,0,2,4,0,0
25.0,adaptive,41,1.0,1,2.267,5.900,5.900,1.320,4,4.800,0.6667,2,6,6,0,1,0,0,1,2,1
25.0,adaptive,41,1.0,2,4.450,8.900,8.900,0.720,2,4.800,1.0000,2,2,2,0,0,0,0,0,0,0
25.0,adaptive,41,1.0,3,4.105,6.467,6.467,2.300,5,9.600,0.4500,4,7,6,1,2,0,2,0,1,0
30.0,adaptive,41,1.0,0,6.730,20.483,20.483,4.850,9,12.000,0.8100,6,15,14,1,5,0,2,4,1,2
30.0,adaptive,41,1.0,1,4.531,9.567,9.567,1.767,5,6.000,0.5682,3,8,6,2,1,0,0,1,1,3
30.0,adaptive,41,1.0,2,2.225,8.900,8.900,0.833,2,4.000,0.2500,2,4,4,0,1,0,0,0,2,0
30.0,adaptive,41,1.0,3,6.136,11.467,11.467,2.417,5,8.000,0.4500,4,7,6,1,2,0,2,0,1,0
35.0,adaptive,41,1.0,0,8.069,25.483,25.483,5.500,10,12.000,0.8929,7,17,15,2,6,0,2,4,2,2
35.0,adaptive,41,1.0,1,5.289,13.567,13.567,2.343,7,8.571,0.9000,5,11,9,2,1,0,1,2,2,1
35.0,adaptive,41,1.0,2,2.153,8.900,8.900,0.971,3,6.857,0.2500,4,5,5,0,1,0,0,1,0,0
35.0,adaptive,41,1.0,3,8.279,16.467,16.467,2.500,5,6.857,0.4500,4,7,6,1,2,0,2,0,1,0
40.0,adaptive,41,1.0,0,10.316,28.483,28.483,5.950,10,15.000,0.9423,10,17,15,2,7,0,2,1,2,2
40.0,adaptive,41,1.0,1,6.709,14.950,14.950,2.675,7,9.000,0.6944,6,11,9,2,3,0,1,2,2,0
40.0,adaptive,41,1.0,2,2.252,8.900,8.900,1.075,3,6.000,0.7500,4,7,7,0,3,0,1,1,0,1
40.0,adaptive,41,1.0,3,6.947,19.583,19.583,2.675,5,7.500,0.3676,5,10,9,1,2,0,4,0,0,1
45.0,adaptive,41,1.0,0,10.809,31.083,31.083,6.000,10,14.667,0.6667,11,19,17,2,7,0,4,0,2,2
