elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,neural,45,1.0,0,0.950,0.950,0.950,0.700,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,neural,45,1.0,1,0.000,0.000,0.000,0.500,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,neural,45,1.0,2,0.975,1.950,1.950,1.000,2,0.000,0.5000,0,2,2,0,0,0,0,1,1,0
5.0,neural,45,1.0,3,0.000,0.000,0.000,0.300,1,0.000,0.2500,0,1,1,0,0,0,1,0,0,0
10.0,neural,45,1.0,0,2.975,5.950,5.950,1.000,2,0.000,0.2500,0,2,2,0,0,0,0,0,0,2
10.0,neural,45,1.0,1,2.733,4.950,4.950,1.100,2,0.000,0.2500,0,2,2,0,0,0,0,0,0,2
10.0,neural,45,1.0,2,1.960,6.950,6.950,2.250,5,0.000,0.5682,0,5,5,0,0,0,0,1,1,3
10.0,neural,45,1.0,3,0.000,0.000,0.000,0.550,1,6.000,1.0000,1,1,1,0,0,0,0,0,0,0
15.0,neural,45,1.0,0,4.822,10.950,10.950,1.567,3,0.000,0.4500,0,3,3,0,0,0,1,0,0,2
15.0,neural,45,1.0,1,5.806,9.950,9.950,1.700,3,0.000,0.4500,0,3,3,0,0,0,0,1,0,2
15.0,neural,45,1.0,2,4.671,11.950,11.950,3.433,7,0.000,0.6447,0,7,7,0,0,0,0,1,3,3
15.0,neural,45,1.0,3,0.000,0.000,0.000,0.400,1,4.000,0.2500,1,2,2,0,0,0,1,0,0,0
20.0,neural,45,1.0,0,3.537,10.950,10.950,1.675,3,6.000,0.4500,2,5,5,0,1,0,1,0,0,2
20.0,neural,45,1.0,1,4.483,9.950,9.950,1.800,3,6.000,0.4500,2,5,5,0,1,0,0,1,2,0
20.0,neural,45,1.0,2,7.133,11.950,11.950,4.200,7,3.000,0.6447,1,8,8,0,1,0,0,1,3,3
