elapsed_s,mode,seed,spawn_rate,iid,avg_wait_s,p95_wait_s,max_wait_s,avg_queue,max_queue,throughput_per_min,fairness_index,total_crossed,total_spawned,external_spawned,transferred_in,exited_world,red_light_violations,queue_right,queue_down,queue_left,queue_up
5.0,rl,27,1.0,0,0.567,1.133,1.133,1.200,2,0.000,0.5000,0,2,2,0,0,0,0,1,0,1
5.0,rl,27,1.0,1,0.000,0.000,0.000,0.100,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
5.0,rl,27,1.0,2,0.000,0.000,0.000,0.000,0,0.000,1.0000,0,0,0,0,0,0,0,0,0,0
5.0,rl,27,1.0,3,0.742,1.483,1.483,1.200,2,0.000,0.5000,0,2,2,0,0,0,1,1,0,0
10.0,rl,27,1.0,0,2.771,6.133,6.133,2.200,4,0.000,1.0000,0,4,4,0,0,0,1,1,1,1
10.0,rl,27,1.0,1,1.258,2.517,2.517,0.600,2,0.000,0.2500,0,2,2,0,0,0,0,0,0,2
10.0,rl,27,1.0,2,1.133,1.133,1.133,0.350,1,0.000,0.2500,0,1,1,0,0,0,0,0,0,1
10.0,rl,27,1.0,3,2.161,6.483,6.483,1.600,2,6.000,0.5000,1,3,3,0,0,0,0,1,1,0
15.0,rl,27,1.0,0,3.717,11.133,11.133,3.200,6,4.000,0.6429,1,7,7,0,0,0,0,1,3,2
15.0,rl,27,1.0,1,3.344,7.517,7.517,1.100,3,0.000,0.2500,0,3,3,0,0,0,0,0,0,3
15.0,rl,27,1.0,2,3.067,6.133,6.133,0.800,2,0.000,0.5000,0,2,2,0,0,0,0,0,1,1
15.0,rl,27,1.0,3,4.300,11.483,11.483,1.733,2,4.000,0.5000,1,3,3,0,1,0,0,1,1,0
20.0,rl,27,1.0,0,6.933,16.133,16.133,3.975,7,3.000,0.6447,1,8,7,1,0,0,0,1,3,3
20.0,rl,27,1.0,1,5.638,12.517,12.517,1.675,4,0.000,0.4000,0,4,3,1,0,0,1,0,0,3
20.0,rl,27,1.0,2,2.007,6.133,6.133,1.275,4,3.000,0.4000,1,5,5,0,0,0,0,0,3,1
20.0,rl,27,1.0,3,3.780,16.483,16.483,1.800,3,6.000,0.7500,2,5,5,0,1,0,1,1,1,0
25.0,rl,27,1.0,0,9.810,19.950,19.950,4.120,7,9.600,0.4000,4,8,7,1,1,0,0,1,3,0
25.0,rl,27,1.0,1,8.087,17.517,17.517,2.240,5,0.000,0.5682,0,5,4,1,0,0,1,0,1,3
25.0,rl,27,1.0,2,3.000,8.900,8.900,2.080,7,7.200,0.4500,3,9,8,1,0,0,0,2,4,0
25.0,rl,27,1.0,3,4.519,21.483,21.483,2.000,3,7.200,0.4500,3,6,6,0,1,0,2,1,0,0
30.0,rl,27,1.0,0,8.953,24.950,24.950,4.283,7,12.000,0.5682,6,11,8,3,3,0,1,1,3,0
30.0,rl,27,1.0,1,9.114,22.517,22.517,2.933,7,0.000,0.5833,0,7,6,1,0,0,2,0,1,4
30.0,rl,27,1.0,2,4.788,13.900,13.900,2.767,8,6.000,0.4706,3,11,9,2,0,0,0,3,5,0
30.0,rl,27,1.0,3,5.550,26.483,26.483,2.283,4,6.000,0.6667,3,7,7,0,1,0,2,1,0,1
35.0,rl,27,1.0,0,10.824,29.950,29.950,4.386,7,10.286,0.5682,6,11,8,3,5,0,1,1,3,0
35.0,rl,27,1.0,1,12.686,27.517,27.517,3.286,7,3.429,0.3676,2,7,6,1,0,0,0,0,1,4
35.0,rl,27,1.0,2,6.753,18.900,18.900,3.500,9,10.286,0.3462,6,12,10,2,0,0,1,0,5,0
35.0,rl,27,1.0,3,5.065,31.483,31.483,2.657,6,8.571,0.9000,5,11,11,0,1,0,2,2,1,1
40.0,rl,27,1.0,0,12.006,34.950,34.950,4.175,7,13.500,0.5000,9,11,8,3,5,0,1,1,0,0
40.0,rl,27,1.0,1,10.480,32.517,32.517,3.725,9,3.000,0.6983,2,11,10,1,2,0,0,3,2,4
40.0,rl,27,1.0,2,9.249,23.900,23.900,3.812,9,9.000,0.3462,6,12,10,2,3,0,1,0,5,0
40.0,rl,27,1.0,3,6.004,36.483,36.483,3.112,7,10.500,0.6944,7,12,12,0,3,0,0,2,1,2
45.0,rl,27,1.0,0,11.839,39.950,39.950,3.944,7,12.000,0.7500,9,12,9,3,8,0,1,1,1,0
45.0,rl,27,1.0,1,12.881,37.517,37.517,4.411,10,2.667,0.8333,2,12,11,1,2,0,1,3,2,4
45.0,rl,27,1.0,2,10.070,28.900,28.900,4.189,9,8.000,0.5714,6,14,12,2,3,0,1,1,5,1
45.0,rl,27,1.0,3,7.465,41.483,41.483,3.356,7,9.333,0.6429,7,13,13,0,3,0,0,3,1,2
